"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","49","7","7","1","5.337441","0","7"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","49","72","78","1","63.467617","0","78"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","49","42","45","1","0.000000","0","45"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","49","22","24","1","32.490353","0","24"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","49","8","8","1","2.930212","0","8"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","49","14","14","1","13.487972","0","14"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","49","8","8","1","8.866735","0","8"
"/Engine/VREditor/TransformGizmo/Xray.Xray","49","8","8","1","3.070347","0","8"
"/Engine/VREditor/TransformGizmo/Main.Main","49","8","8","1","8.112217","0","8"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","49","67","67","1","5.033121","0","67"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","49","21","23","1","9.166750","0","23"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","49","11","11","1","5.850640","0","11"
"/Game/GameAssets/Materials/MetalsDebug/M_NonInteractuableMat.M_NonInteractuableMat","49","13","13","1","13.226152","0","13"
"/Game/GameAssets/Materials/MetalsDebug/M_InteractuableMat.M_InteractuableMat","49","13","13","1","0.000000","0","13"
"/Game/GameAssets/Materials/MetalsDebug/M_SelectedMat.M_SelectedMat","49","13","13","1","17.032944","0","13"
"/DatasmithContent/Materials/AliasReference.AliasReference","49","16","16","1","13.999755","0","16"
"/Game/GameAssets/Materials/MetalsDebug/M_SelectableMat.M_SelectableMat","49","13","13","1","0.000000","0","13"
"/Niagara/DefaultAssets/DefaultRIbbonMaterial.DefaultRibbonMaterial","49","31","36","1","18.665089","0","36"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","49","18","18","1","19.936974","0","18"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialMeter.M_AudioMaterialMeter","49","15","15","1","8.005533","0","15"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialRoundedSlider.M_AudioMaterialRoundedSlider","49","27","29","1","19.276783","0","29"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialEnvelope_ADSR.M_AudioMaterialEnvelope_ADSR","49","27","29","1","21.393120","0","29"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","49","45","45","1","41.858948","0","45"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialKnob.M_AudioMaterialKnob","49","15","15","1","10.157272","0","15"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialToggleButton.M_AudioMaterialToggleButton","49","15","15","1","10.042013","0","15"
"/Game/Characters_UE/Mannequins/Materials/M_Mannequin.M_Mannequin","49","26","30","2","17.825405","0","30"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","49","42","46","1","47.481266","0","46"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","49","42","46","1","49.871971","0","46"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","49","72","78","1","69.098083","0","78"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","49","92","92","1","0.000000","0","92"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","49","9","9","1","8.064952","0","9"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","49","40","40","1","22.795368","0","40"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","49","993","1016","1","61.844547","0","1016"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.DataflowTwoSidedVertexMaterial","49","17","19","1","19.037971","0","19"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","49","202","212","6","346.338806","0","212"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","49","164","182","6","167.892532","0","182"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","49","156","166","6","154.577087","0","125"
"/InterchangeAssets/gltf/M_Default.M_Default","49","164","182","6","167.474289","0","182"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","49","156","166","6","152.827515","0","166"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","49","54","54","2","129.544098","0","29"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","49","7","7","1","3.884904","0","7"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","49","7","7","1","4.475346","0","7"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","49","67","67","1","42.964802","0","67"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","49","39","39","3","68.830750","0","39"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","49","7","7","1","5.020884","0","7"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","49","7","7","1","3.509164","0","7"
